id,Job Title,Education,Experience,superlative_score,text_inconsistency_score,reciprocity_score,timeline_inconsistency_score
0,BILINGUAL LANGUAGE ARTS SIXTH GRADE TEACHER,"BILINGUAL LANGUAGE ARTS SIXTH GRADE TEACHER
Summary
Dedicated and enthusiastic professional with over four years' experience in education. Motivating students School improvement committee Interactive
teaching/learning Interdisciplinary teaching Innovative lesson planning Effectively work with parents
Professional Experience
08/2014 to Current
Bilingual Language Arts Sixth Grade Teacher Company Name ï¼​ City , State
Developed and implemented interesting and interactive learning mediums to increase student understanding of course materials and build
community within the classroom Participate in the development of intervention plans for students within the classroom setting, during MVP
time (tutoring hour) as well as after school tutoring Oversee Read 180 program participants and monitor their progress as part of their
intervention strategy Implementation of newer educational technology programs in order to teach students new techniques to use within their
presentations to showcase their knowledge some examples include: Prezi, Storyboard That, Edmodo, Thinglink, and others Participate in
district Community Ambassador program and campus improvement committee.
 01/2014 to 05/2014
Bilingual Substitute Teacher Company Name ï¼​ City , State
Worked in elementary schools and substitute several classroom programs inclusive of: Early Childhood-6 mainstream, Spanish Immersion,
Bilingual (Spanish) Early Childhood-6, and Special Education.
 07/2013 to 01/2014
Bilingual 4th Grade Teacher Company Name ï¼​ City , State
Developed and implemented plans inclusive of: following Independent Education Plans (Special Education), Gifted and Talented curriculum,
and mainstream English/Spanish language arts, writing and history Analyze data to plan and implement appropriate instruction to reflect
accommodations for individual students Cooperate with other members of the staff in planning and implementing instructional goals and
objectives Establish and maintain open lines of communication with students and their parents Participate in a wide range of district and
campus professional development to include: Gifted and Talented coursework, wide range of education technology applications, as well as
Love and Logic training.
 Education and Training
May 2011
Tarrant County College
Employee of the Month Educational Support Services Department February 2010 ","Most Inspirational Employee December
2009 Northern Arizona University
2009
Bachelor of Arts : International Studies Elon University ï¼​ City , State International Studies
Presidential Scholar; Resident Assistant- RA of the Month February 2007 and October 2006; Global Experience Program: Costa Rica 2008 with
internship, Winter Term: Paris 2007, London 2006; Elon Volunteers: Boys and Girls Club Alamance County Community College
Affiliations
Association of Texas Professional Educators (ATPE) LANGUAGES English and Spanish
Skills
arts, English, instruction, Latin, letters, Logic, materials, math, presentations, progress, promotion, Read, research, Spanish, Spanish language,
strategy, supervisor, teacher, tutoring, VISTA, workshops
 ",0.37491494,0,0,0.142857143
1,MORTGAGE BANKING DEFAULT OPERATIONS SPECIALIST II,"Education
present
University of North Texas
City , State
2008
Remington College
City , State
Special Skill/ Certifications Associate Degree Computer Networking Excel, Linux, Ms Word, and ","Experience
February 2015 to Current
Company Name City , State Mortgage Banking Default Operations Specialist II
Responds to internal inquiries from customer service specialists regarding issues such as missing documents, ordering certain third party
services and reviewing ""specialty flags""
Facilitate the gathering of underwriting documents for both pre and post underwriting decision making
Responsible for conducting research on mortgage files currently in litigation
Present results to management with issues and potential risks identified
Receives decision/results from underwriting and QC review and process according to decision
Communicate effectively with borrowers attorney on status of the loss mitigation and/or liquidation
Assess and analyze trial plan and/or modification document detail and verify against modification portal (PEGA)
 May 2014 to Current
Company Name City , State Audio-Visual Technician
Responsible for setting and striking general session/meeting room exhibit labor including load-in & out with install and dismantle, audio,
video, and/or lighting assist
Coordinate and/or assist technical crews at various sites
Work with inventory control to ensure complete equipment coverage for clients are established
Operates multi-media equipment
Responsible for all technical labor of production, ensuring picture, sound, and quality
Performs maintenance of audio-visual equipment
Coordinate meetings with sales manager for planned/unplanned events to determine requirements from client
Experience and evolving knowledge in Photoshop and InDesign such as Adobe Creative Cloud
Build strong relationships with future and current clients to promote services of PSAV.
 ",0.57401186,0.378127954,0,0.057142857
2,GUEST LECTURER,"Personal Trainer
January 2011 to Current
Education
M.A : Physical Education , 1 2011 North Park University Physical Education
B.A : ","Experience
Guest Lecturer
Company Name
Strength and Conditioning 2013, 2014 Personal Health 2014 Guest Speaker: Introduction to Sports Management.
 ",0.13726485,0.840775808,0,0
3,ACCOUNTANT,"ACCOUNTANT
Summary
Personable education professional driven to inspire students to achieve personal and academic success.
 Education
5 2015
La Salle University
City , State Fraud and Forensic Accounting
Fraud and Forensic Accounting
5 2011
University of Phoenix
City , State Accounting
MBA Accounting
5 2005
Pennsylvania State University
City , State Business Economics , International Business and French Structural Economics and International Relations
Bachelor of Science Business Economics , International Business and French Structural Economics and International Relations
5 2005
Paris Chamber of Commerce
City , France
12 2011
FMA Institute
City , State
Certified Nonprofit Accounting Professional (CNAP)
Languages
Fluent in French
Skills
Accounting, approach, AS400, auditing, bank reconciliations, competitive, contracts, CRM, clientele, clients, customer satisfaction, customer
services, customer service, data analysis, database, financial statements, French, Fluent in French, functional, inventory management, Access III,
Microsoft Excel II, Microsoft Office, Microsoft Word, pricing, processes, Speaking, quality, QuickBooks, reconciling, SAP, SQL, strategic,
travel arrangements
 ","Highlights
Knowledgeable in QuickBooks, SQL, SAP, and AS400
Highly proficient in Microsoft Office, including Microsoft Word, PPT, Microsoft Excel II and Access III
Experience
November 2013 to Current
Company Name City , State Accountant
Sources items through the compilation of vendor information and bidding processes Selected preferred vendors based on competitive
pricing, products' liabilities, payment terms, and ETA's Creates auditing processes for inventory management Selects bank statements
randomly to ensure that disbursements where authorized and signed by two individuals Ensures three way matches of requisitions, purchase
orders, and good receipts Performs data analysis on bank statements to ensure that all reconciled items are processed in a timely manner
Audits the database demographic to better understand clientele of the company and to maximize customer satisfaction level Completes
month-end journal entries and month-end reports.
 ",0.5339257,0,1,0.257142857
4,STAFF ACCOUNTANT,"Administrative Assistant
July 2008 to October 2009 Company Name ï¼​ City , State
Directed staff of three and managed accounting, budgeting, HR, and administrative responsibilities at state-operated military academy providing
education and life skills for at-risk youth. Education
BBA : Business Administration/Accounting , 2009 University of Anchorage Alaska ï¼​ City , State , USA
GPA 3.0
Associate of Science : General , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4
Associate of Applied Science : Electronics , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4
 ","Hands-on supervisory experience directing and training accounting and support staff. HR experience.
 She is a strong team player.â€​ Craig C.,
Division Director, 2009
Highlights
Advanced computer proficiency
Account reconciliation expert
Flexible team player
Adobe software proficiency
General ledger accounting
MAS 90 & Sage Software
Strong organizational skills
Complex problem solving
Expert in customer relations
Effective time management
Experience
Staff Accountant
September 2010 to Current Company Name ï¼​ City , State
Cypress Healthcare Partners is a management company for doctor offices. ",0.597065,0,0,0.2
5,HR - SHARED SERVICES SUPERVISOR,"Education
B.A : ","Highlights
Professionals in Human Resources Association
Excellent interpersonal and coaching skills
Talent assessments
Motivated
Hiring recommendations
Background checks
Experience
Company Name City , State HR - Shared Services Supervisor 01/2014
Provides leadership development and performance management to a direct team of associates focused on meeting call center operational
metrics and quality standards.
 Enhancing overall customer experience through call coaching and monitoring escalated call trends.
 ",0.60339093,0,0,0.285714286
6,ORGANIZER AND CAPACITY BUILDING STRATEGIST,"Special Education Advocate 01/2009 to 01/2011 Company Name City , State
Researched client issues and manage legal correspondence.
 Completed outreach and training on disability and special education rights.
 Community Organizer/Founder 01/2000 to 01/2011 Company Name City , State
Wrote grant proposals, business plans, and press releases Presented strategic plan and goals to a variety of audiences Organized
constituents around special education, environmental and health issues Collaborated with 85+ local community leaders and organizations
Designed and taught advocacy skills training program to over 300 parents annually Secured over 100k in funding for parent advocacy
training programs.
 Community Organizer 01/2008 to 01/2009 Company Name City , State
Trained constituents on civil rights and education issues pertaining to Latino children.
 Collaborated with community leaders and organizations around education policy issues.
 Legal Advocate 01/2006 to 01/2008 Company Name City , State
Trained constituents on disability and special education rights.
 Family Advocate 01/2004 to 01/2006 Company Name City , State
Developed and presented workshops for professionals on needs of high-needs families Worked with homeless families to obtain housing
Facilitated cooperative working relationships with other agencies Served as internal consultant to team on special education and disability
laws Facilitated cooperative working relationships with other agencies Provided technical assistance to families on policies and procedures.
 Education
JD : Organizational Communication Nonprofit Management 2007 St. Edward's University People's College of Law City , State Organizational
Communication Nonprofit Management
Interests
Board Member, Advocacy 4 Kids, Virginia Beach, VA (2015-current) Board Member, COPAA (Council of Attorneys, Parents,& Advocates)
(2009-current) Co-Founder, Ichi Villa Autism Alliance/Northeast Los Angeles Autism Parents (2012-current) Founder, Latina Mami Los
Angeles, Special Education Legal Clinics (2011-current) Member, Community Now, (2008-2010) Radio Show Host, ""Mamis of Color"" radio
show, 91.7 FM (2001-2009) Board Member, Texans for Midwifery (2001-2002) Graduate, Partners in Policymaking (2005) Election
Committee Chair and Board Member, KOOP Radio (2005-2006) Special Education Citizen's Advisory Committee & Bilingual Committee
(2005-2008) Committee Member, March of Dimes Program Services (1999-2004)
Publications
NCLR Latino Leadership Institute training Understanding Your Child's Special Education Rights"" Disability Civil Rights Throughout The Ages""
Disability and Domestic Violence Survivors"" The Emotional Aspects of Working With Parents of Children with High-Needs"" The Needs of
Diverse Families"" Organizing around Issues Affecting Your Community"" National Workshops Presented: Special Education Representation from a
Social Justice and Civil Rights Perspective"" COPAA 2015 Conference, San Diego, CA. Ernst and Young Social Entrepreneur of the Year Finalist 2002: ""Mamis of Color""
radio show named KOOP Social Justice Program of the Year OTHER COMMUNITY INVOLVEMENT Board Member, Advocacy 4
Kids, Virginia Beach, VA (2015-current) Board Member, COPAA (Council of Attorneys, Parents,& Advocates) (2009-current) Co-
Founder, Ichi Villa Autism Alliance/Northeast Los Angeles Autism Parents (2012-current) Founder, Latina Mami Los Angeles, Special
Education Legal Clinics (2011-current) Member, Community Now, (2008-2010) Radio Show Host, ""Mamis of Color"" radio show, 91.7
FM (2001-2009) Board Member, Texans for Midwifery (2001-2002) Graduate, Partners in Policymaking (2005) Election Committee
Chair and Board Member, KOOP Radio (2005-2006) Special Education Citizen's Advisory Committee & Bilingual Committee (2005-
2008) Committee Member, March of Dimes Program Services (1999-2004)
Skills
agency, attorney, business plans, consultant, client, clients, detail oriented, grant proposals, legal, materials, organizing, policies, press releases,
problem solving skills, research, strategy, strategic, technical assistance, training programs, workshops
 ","ORGANIZER AND CAPACITY BUILDING STRATEGIST
Experience
Organizer and Capacity Building Strategist 01/2011 Company Name City , State
Civil Rights and Disability Advocate Advocate for people with disabilities with school, regional centers and agencies Conduct case review
of client issues, research state and agency violations Develop strategy and provide technical assistance for clients to obtain positive outcome
Attend IPP, IEP, and mediations with clients as advocate Keep case file, summary, and all necessary documents for referral to attorney if
necessary Convened NCLR member organizations to develop statewide action strategies.
 ",0.1344549,0.639308511,0,0.457142857
7,HR DIRECTOR,"Provide facility with classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops and leadership
development education.
 Hiring staff and managing the overall image of the facility; developing job descriptions, interviewing candidates, maintaining staff development
and education and, as well as, managing disciplinary processes.
 Education
Webster University 2015 Financial Accounting * ","HR DIRECTOR
Summary
Human Resource Professional Confident, Resourceful Human Resources professional, with academic background in human resources
management and hands-on experience hiring, training, orientating, and developing employees that currently serve in a one person role managing 63
employees for a fast growing organization.
 Highlights
Analytical Skills Good Interpersonal Skills Organizational Skills Communication Skills
Recruiting and Staffing Performance Management Employee Relations Selection/Recruiting
Employee Orientation Training & Development Policy & Procedure Writing Detail Organization
Staff Supervision Employee Records System On-the-job Training Job Analysis
Cold Calling Internet Sourcing Compensation Labor Laws
Labor Policies Equal Employment Opportunity Interviewing Discipline Issues
Social Networking Recruitment Advertising Campus Recruiting OSHA Standards
Employee Grievance Employee Verification Screen/Schedule Candidates Community Outreach
Computer Skills
Microsoft Office Word Excel Outlook PowerPoint Publisher Health Care IS
HRIS Systems PeopleSoft Child Care IS Day Care Software QuickBooks Data Input
Accomplishments
Devised a successful recruiting plan for my employer, which resulted in 25 new employees in 2-months.
 Experience
Company Name January 2014 to January 2015 HR Director
State
Communicate orally and written with children, parents, staff, volunteers, guardians, therapist, case workers with a variety of economic
backgrounds, with clear and precise understanding withholding confidential or sensitive information with discretion.
 This includes ensuring all new hires have gone through all pre-employment requirements, maintains contact through the process with new
hires and greets and reviews first day requirements with new hires and conducts new hire orientation.
 Acts as a liaison between employees and the service center to resolve problems and clarify questions or concerns Facilitate updates and
random notifications for drug testing programs Responsible for overseeing personnel functions including compensation, benefits
administration, FMLA, and compliance with Federal/State employment regulations.
 Analyzed employment-related data and prepared required reports.
 Training and Development * Employment Law
* Staffing and Selection * ",0.5007551,0.236533716,1,0.542857143
8,Professional Summary,"Professional Summary
Detail-oriented, enthusiastic educator with over 12 years experience in Higher Education, skilled in designing curriculum for various faculty
members with an aim of integrating technology in meaningful ways. Seeking a position as an Instructional Design professional where I can organize,
plan, and implement effective educational practices. Education
Master of Arts : English , DECEMBER 2006 University of Northern Colorado ï¼​ City , State GPA: Recipient of Dean's Citation of Excellence
Award Nominated for Dean's Outstanding Thesis Award English Recipient of Dean's Citation of Excellence Award Nominated for Dean's
Outstanding Thesis Award
Bachelor of Arts : English Education , DECEMBER 2001 Colorado State University ï¼​ City , State GPA: Cum Laude English Education Cum
Laude
CURRENT Certificate for Teaching with Technology and Distance Learning: Colorado State University Online Plus City , State
Accomplishments
st edition (2009).
 Early Performance and Student Retention: 7 The
Role of Composition Instructors"" CCCCs in 2014: ""Student Perceptions of Power Behind the Podium"" PDI in 2013: ""How Can Instructors Use
Questions to Promote Critical Thinking: Now That's a Good Question"" PDI in 2011: ""Designing Effective Writing Assignments"" MLA in 2006:
""Iron Eggs and Iron Ages: Reading Space"" SMLA in 2006: ""Goddess in the House"" Five Cs in 2006: ""Research Notebooks"" Five Cs in 2005:
""Kinesthetic Sentences"" Publications In conjunction with CSU Composition Program: Ethics in Higher Education (2013) Internet and Social
Media? ","Exceptional ability to manage multiple projects in a deadline-driven, dynamic environment;
Enthusiastic about new ideas and experiences.
 Experience
Special Instructor of Composition Administration
June 2008 to Current Company Name ï¼​ City , State
Design first-year Composition curriculum, which assists at least 25 faculty instructors of Composition each semester.
 Planned and facilitated First Year Experience recitations, helping Freshmen understand the culture of UNC and how to be successful in a
University environment.
 ",0.440769,0,0,0
9,MEMBER SERVICES REPRESENTATIVE,"Education
2008 Associate of Arts : ","Experience
Member Services Representative 03/2015 ï¼​ Current Company Name City , State
Promoted from Cashier to Lead Cashier to help train staff and facilitated huddles in the morning (Meijer).
 Having team meetings twice a month to give ideas for better service and share experience's to learn from.
 ",0.40717503,0.482176188,0,0
