Interviewee ID,Recommender ID,Job Title applying to,Past Job Experience,Skills Vouched for,Phrases,Recommender Job
659,916,,,"collaboration, vibrant atmosphere, candidate, dedicated instructor, skills, professional, pleasure, sector, initiatives, energy, role, trust, culture, unwavering support, engagement, commitment, superior organizational skills, strong leadership, staff, operations, team leadership, evolving priorities, excellence, ability, importance",,dedicated yoga instructor and former first-grade teacher
659,125,,,"leadership, organization, skills, strategic planning, trust, director, engagement, global manufacturer, various stakeholders, services, building, processes, improvements, staff, teams, operations, expertise, ability, strong appreciation, president, interim director",,health and wellness director
659,759,,,"ethos, sales growth, pressure, organization, collaborative strategies, bases, energetic personality, pleasure, initiatives, role, selling, trust, presence, exceptional organizational skills, talent, engagement, keen understanding, various sectors, sales, operations, teams, quotas, proactive approach",,
659,57,,,"experienced manager, various positions, organizational prowess, large teams, organization, experiences, energetic personality, skills, goals, role, proven record, innovative leadership, positive atmosphere, cohesion, contributions, staff, sales, operations, teams, community, evolving priorities, collaborative effort, interim director",proven track record,
659,47,,,"skilled multitasking, engagement, accurate reporting, initiative, staff, oriented professionals, teams, accountant, commitment, exceptional skills, role, officials, teamwork, organization, ability, importance, capability, efforts",,
3,122,,,"reporting, second person, innovative approach, organization, attention, decade, talented colleague, remarkable proficiency, skills, dedicated professionals, contrast, areas, integrity, procurement, finance, picture, complementary skills, accuracy, accounting, processes, diverse areas, dedicated accountant, close, realm, complex financial narratives, operational efficiency, improvement, first person, expertise, essential functions, detail",,
3,194,,,"compliance, high levels, current role, effective selection, respect, lead, receivable accounts, professionalism, analytical capabilities, comprehensive understanding, Tester, critical necessary skills, talented accountant, accounting, processes, skilled accountant, various financial tools, data analysis, proficiency, ability, detail",,QA/Mobile Software Tester further underscores their analytical capabilities and attention to detail
833,154,a trainer,,"exceptional skills, organization, attention, customer service, remarkable proficiency, communication, technical skills, utmost professionalism, role, trainer, interaction, systems, inventory, combination, levels, vendors, accountant, commitment, safety, development, functions, firsthand knowledge, detail, ability, importance",,trainer and leader
833,361,,,"successful military operations, privilege, storied career, organization, remarkable skills, customer service, problem-solving, combined expertise, dedicated professional, control, decade, communication, stellar solving skills, exceptional capabilities, responsibilities, vendors, superintendent, various teams, qualities, same organization, savings, worth accountability, chains, project management",,Superintendent II
833,831,,,"others, second person, dynamics, logistics, exceptional skills, organization, impressive results, proactive mentality, goods, personnel, strong ethic, skills, communication, foundation, great pleasure, history, talent, inventory, vendors, training, processes, sum, high standards, costs, teams, first person, operations, demonstrated ability, detail, inventories",strong work ethic,Supervisory Logistics Management Specialist with extensive experience in leading teams and managing multimillion-dollar inventories
833,449,,,"exemplary skills, orders, customer service, problem-solving, counts, capacity, dedicated professional, significant operational costs, decade, communication, full confidence, daily operations, expectations, workplace, inventory, procurement, blend, vendors, future role, commitment, safety, training, contributions, technical acumen, staff, proficiency",,
