Profile ID,Work Experience,Education,Max Time Difference (Years),Normalized_Column,Earliest Work Year,Latest Education Year,Year Difference,Normalized Difference,Normalized Year Difference
0,"   04/2011   to  07/2012 Student Development Assistant   Company Name   ï¼\u2006  City   ,  State Coordinated community tours for prospective students, families and community visitors Created data intensive reports based on TAKS/STAAR test results for local feeder schools for supervisor to present to upper administration Collaborated with the FWISD Vital Link program to create a summer college exploration/ internship program for local middle school students.  ,   Most Inspirational Employee December 2009   Northern Arizona University 2009 Bachelor of Arts   :  International Studies   Elon University   ï¼\u2006  City   ,  State   International Studies Presidential Scholar; Resident Assistant- RA of the Month February 2007 and October 2006; Global Experience Program: Costa Rica 2008 withinternship, Winter Term: Paris 2007, London 2006; Elon Volunteers: Boys and Girls Club   Alamance County Community College Affiliations Association of Texas Professional Educators (ATPE) LANGUAGES English and Spanish Skills arts, English, instruction, Latin, letters, Logic, materials, math, presentations, progress, promotion, Read, research, Spanish, Spanish language, strategy, supervisor, teacher, tutoring, VISTA, workshops   ","   06/2010   to  07/2010 Academic Advisor/ Spanish Instructor   Company Name   ï¼\u2006  City   ,  State Assisted students one-on-one with college preparation assignments such as: career exploration, school selection, resume writing, and letters of recommendation Taught students hybrid course: Introduction to Spanish and Hispanic/Latin American Studies.  ,   Education and Training May 2011 Tarrant County College Employee of the Month Educational Support Services Department February 2010   ",0.0,0.0,2006.0,2011.0,5,5,0.14285714285714285
1,"   Experience February 2015   to  Current Company Name   City   ,  State   Mortgage Banking Default Operations Specialist II Responds to internal inquiries from customer service specialists regarding issues such as missing documents, ordering certain third party services and reviewing ""specialty flags"" Facilitate the gathering of underwriting documents for both pre and post underwriting decision making Responsible for conducting research on mortgage files currently in litigation Present results to management with issues and potential risks identified Receives decision/results from underwriting and QC review and process according to decision Communicate effectively with borrowers attorney on status of the loss mitigation and/or liquidation Assess and analyze trial plan and/or modification document detail and verify against modification portal (PEGA)  ,   May 2013   to  October 2013 Company Name   City   ,  State   Closing Specialist I Liaison between Vendor, Lender, Attorney and Borrower for refinance closing files Processed and preformed quality checks on all documents from lenders and attorneys for accuracy Ensured each state guideline in reference to closing instructions were followed Responded to inquiries from borrowers, lenders, and attorneys to resolve discrepancies Prepared title company closing documents in timely and professional manner Worked to build strong partnerships with local lenders, realtors, and attorneys Prior to closing, called and confirmed with lenders and borrowers to ensure original schedule was met. July 2009   to  January 2011 Company Name   City   ,  State   Corporate Trainer Conducted needed analysis to determine training needs and appropriate training methods based on subject matter and target audience.  ,   May 2014   to  Current Company Name   City   ,  State   Audio-Visual Technician Responsible for setting and striking general session/meeting room exhibit labor including load-in & out with install and dismantle, audio, video, and/or lighting assist Coordinate and/or assist technical crews at various sites Work with inventory control to ensure complete equipment coverage for clients are established Operates multi-media equipment Responsible for all technical labor of production, ensuring picture, sound, and quality Performs maintenance of audio-visual equipment Coordinate meetings with sales manager for planned/unplanned events to determine requirements from client Experience and evolving knowledge in Photoshop and InDesign such as Adobe Creative Cloud Build strong relationships with future and current clients to promote services of PSAV.  ,   State   Manager, Customer ServiceManaged a team of 15 associate who took calls regarding Bankruptcy and Property Claims Coached new Hires Conducted On the Job Training for associates Assisted homeowners with general questions and servicing of their mortgage and home equity loans Created procedures for servicing and Foreclosure guidelines. October 2006   to  October 2008 Company Name   City   ,  State   Team Leader Provided superior customer service while managing multiple projects.   ","   Education present University of North Texas   City   ,  State   2008 Remington College   City   ,  State   Special Skill/ Certifications Associate Degree Computer Networking Excel, Linux, Ms Word, and   ",0.0,0.0,2006.0,2008.0,2,2,0.05714285714285714
2,"   Fitness Supervisor   January 2014 Galter LifeCenter  2010 Â\u2006 Current Responsible for supervising and/or performing the day to day functions of the Fitness Specialists, Fitness Coaches, Interns, Fitness Consults and overall safety on the fitness floor.   ","   North Park University 2011  ,   Personal Trainer   January 2011   to  Current Education M.A   :  Physical Education   ,  1 2011   North Park University   Physical Education B.A   :  Psychology and Sports Medicine Fitness Management   ,  1 2003   North Park University   Psychology and Sports Medicine Fitness Management Languages English  Spanish Â\u2006 speak fluently and read/write with basic competence Skills basic, Council, English, Instructor, LANGUAGES, Speaker, quality, read, safety, Spanish, supervising Professional Affiliations ACE Certified Personal Trainer since 2005   ",0.0,0.0,2014.0,2011.0,0,0,0.0
3,"   April 2006   to  January 2010 Company Name   City   ,  State   Procurement Specialist Served as the lead buyer for sixteen plants across the United States and Canada Interacted in French with plants located in French Speaking regions Montreal, Quebec, Viau etc.  ,   September 2010   to  May 2013 Company Name   City   ,  State   QA/Mobile Software Tester Worked specifically with different accounting and business software including French ones Audited the testing process to enhance quality, cycle time effectiveness, and accuracy Identified correctness, completeness, security, and quality of various accounting packages Isolated and reported localization and functional bugs for certification programs Developed test plans, and organize and lead testing activities for new and existing releases Conducted regression, security, and smoke testing.   ","   Education 5 2015 La Salle University   City   ,  State   Fraud and Forensic Accounting   Fraud and Forensic Accounting 5 2011 University of Phoenix   City   ,  State   Accounting   MBA   Accounting 5 2005 Pennsylvania State University   City   ,  State   Business Economics , International Business and French Structural Economics and International Relations  Bachelor of Science   Business Economics , International Business and French Structural Economics and International Relations 5 2005 Paris Chamber of Commerce   City   ,  France   12 2011 FMA Institute   City   ,  State   Certified Nonprofit Accounting Professional (CNAP) Languages Fluent in French Skills Accounting, approach, AS400, auditing, bank reconciliations, competitive, contracts, CRM, clientele, clients, customer satisfaction, customer services, customer service, data analysis, database, financial statements, French, Fluent in French, functional, inventory management, Access III, Microsoft Excel II, Microsoft Office, Microsoft Word, pricing, processes, Speaking, quality, QuickBooks, reconciling, SAP, SQL, strategic, travel arrangements   ",0.0,0.0,2006.0,2015.0,9,9,0.2571428571428571
4," ""Accounting Supervisor I   July 2007   to  July 2008   Company Name   ï¼\u2006  City   ,  State Supervised five accounting staff preparing accounts payable and processing travel transactions for nine divisions within Department of Military and Veterans   Affairs."",   Reviewed HR documents, delegations of authority, and acting status papersAccounting Technician II   November 2002   to  July 2008   Company Name   ï¼\u2006  City   ,  State Started as a Administrative Clerk in 2002, moved to Child Support Specialist I, and advanceds to Accounting Technician II in 2006.  ,   She is a strong team player.â€\u2006  Craig C., Division Director, 2009 Highlights Account reconciliation expert Adobe software proficiency MAS 90 & Sage Software Complex problem solving Effective time management Advanced computer proficiency Flexible team player General ledger accounting Strong organizational skills Expert in customer relations Experience Staff Accountant   September 2010   to  Current   Company Name   ï¼\u2006  City   ,  State Cypress Healthcare Partners is a management company for doctor offices.   ","   Education BBA   :  Business Administration/Accounting   ,  2009   University of Anchorage Alaska   ï¼\u2006  City   ,  State   ,  USA GPA 3.0 Associate of Science   :  General   ,  2000   Umpqua Community College   ï¼\u2006  City   ,  State   ,  USA GPA 3.4 Associate of Applied Science   :  Electronics   ,  2000   Umpqua Community College   ï¼\u2006  City   ,  State   ,  USA GPA 3.4  ,   I tabulate and send invoices to the hospital and college for services.   ",0.0,0.0,2002.0,2009.0,7,7,0.2
5,"   Company Name   City   ,  State   Action Response Team Supervisor   01/2011   to  01/2013 Resolved and/or addressed complex customer issues or questions, which included taking escalated calls from customers/associates.  ,   Company Name   City   ,  State   New Hire Supervisor   01/2005   to  01/2011 Responsible for staffing call center of 550 associates with 30 New Hire Classes (20 associates per class) within 2 quarters of fiscal year; while maintaining a 80 percent retention rate.  , ""Company Name   City   ,  State   Operations Manager   01/2013   to  01/2014 Accomplishing company  s objectives by overseeing center-wide recruiting, selecting, training, assigning, scheduling, coaching, counseling, monitoring, appraising and disciplining employees; communicating job expectations; reviewing job contributions; planning and reviewing compensation actions and enforcing policies and procedures."",   Highlights Professionals in Human Resources Association Excellent interpersonal and coaching skills Talent assessments Motivated Hiring recommendations Background checks Experience Company Name   City   ,  State   HR - Shared Services Supervisor   01/2014 Provides leadership development and performance management to a direct team of associates focused on meeting call center operational metrics and quality standards.   ","   Education B.A   :   Psychology   2015   Ashford University   ,  City   ,  State   GPA:  GPA: 3.73 Human Resources Management certificate Healthcare Management certificate Accomplishments Implemented a background check matrix for our vendor to streamline the background process during onboarding.   ",0.0,0.0,2005.0,2015.0,10,10,0.2857142857142857
6,"   Family Advocate   01/2004   to  01/2006   Company Name   City   ,  State Developed and presented workshops for professionals on needs of high-needs families Worked with homeless families to obtain housing Facilitated cooperative working relationships with other agencies Served as internal consultant to team on special education and disability laws Facilitated cooperative working relationships with other agencies Provided technical assistance to families on policies and procedures.  , ""Special Education Citizen  s Advisory Committee & Bilingual Committee (2005- 2008) Committee Member, March of Dimes Program Services (1999-2004) Skills agency, attorney, business plans, consultant, client, clients, detail oriented, grant proposals, legal, materials, organizing, policies, press releases, problem solving skills, research, strategy, strategic, technical assistance, training programs, workshops"" ","   Education JD   :  Organizational Communication Nonprofit Management   2007   St. Edward\  s University People\  s College of Law   City   ,  State   Organizational Communication Nonprofit Management Interests Board Member, Advocacy 4 Kids, Virginia Beach, VA (2015-current) Board Member, COPAA (Council of Attorneys, Parents,& Advocates) (2009-current) Co-Founder, Ichi Villa Autism Alliance/Northeast Los Angeles Autism Parents (2012-current) Founder, Latina Mami Los Angeles, Special Education Legal Clinics (2011-current) Member, Community Now, (2008-2010) Radio Show Host, ""Mamis of Color"" radio show, 91.7 FM (2001-2009) Board Member, Texans for Midwifery (2001-2002) Graduate, Partners in Policymaking (2005)   ",0.0,0.0,1999.0,2015.0,16,16,0.45714285714285713
7,"   Company Name   January 2010   to  January 2014   Administrator  Farrow   State Company Name   January 2005   to  January 2008   Event Specialist   State Company Name   January 1996   to  January 2005   Assistant Director   State South Carolina Notary Public.  ,   Experience Company Name   January 2014   to  January 2015   HR Director   State Communicate orally and written with children, parents, staff, volunteers, guardians, therapist, case workers with a variety of economic backgrounds, with clear and precise understanding withholding confidential or sensitive information with discretion.   ","   Benedict College   2013   BS   :  Business Administration Business   GPA:  Management Honors Graduate Cum Laude GPA: 3.5   Business Administration Management Honors Graduate Cum Laude GPA: 3.5 Business Skills Accounting, Advertising, Analytical Skills, agency, Basic, benefits, benefits administration, budget, Business Communications, Business Law, Business Management, Child Care, clarify, clerical, Cold Calling, Communication Skills, Interpersonal Skills, conferences, Makes copies, CPR, database, drafting, editing, Employee Relations, faxes documents, Finance, Financial Accounting, First Aid, forms, Government, Hiring, HRIS, Human Resource Management, Human Resource, HR, Human Resources Management, image, Information Systems, International Business, Job Analysis, Kronos, Labor Relations, Leadership, leadership development, Law, legal, Managerial, Managing, Managerial Accounting, Marketing, meetings, access, Excel, mail, Microsoft Office, Outlook, PowerPoint, Publisher, Word, Works, Negotiations, Networking, Notary Public, Organization Development, Organizational Skills, Organizational, payroll, PeopleSoft, Performance Management, personnel, Policies, Develop policies, Pricing, problem solving, Procedure Writing, processes, Procurement, Production Management, QuickBooks, file maintenance, Recruiting, Recruitment, researching, sound, staff development, Staff Supervision, Staffing, Statistics, Strategy, training programs, workshops, written  ,   Education Webster University   2015   Financial Accounting *   ",0.0,0.0,1996.0,2015.0,19,19,0.5428571428571428
8,,"   Colorado State University Online Plus   City   ,  State Accomplishments st edition (2009).  , ""Education Master of Arts   :  English   ,  DECEMBER 2006   University of Northern Colorado   ï¼\u2006  City   ,  State   GPA:  Recipient of Dean  s Citation of Excellence Award Nominated for Dean  s Outstanding Thesis Award   English Recipient of Dean  s Citation of Excellence Award Nominated for Dean  s Outstanding Thesis Award Bachelor of Arts   :  English Education   ,  DECEMBER 2001   Colorado State University   ï¼\u2006  City   ,  State   GPA:  Cum Laude   English Education Cum LaudeCURRENT Certificate for Teaching with Technology and Distance Learning:"",   English Instructor   January 2007   to  May 2008   Company Name   ï¼\u2006  City   ,  State Planned, implemented, and assessed various Composition courses, maintaining University objectives and goals.  ,   Graduate Teaching Assistant   January 2005   to  December 2006   Company Name   ï¼\u2006  City   ,  State Taught College Research, four sections Taught Freshmen Composition, four sections Taught 20th Century British Literature (English 356) with Dr. Sharon Wilson, one section Designed, implemented, and assessed lessons and assignments for composition and literature classes Collaborated with other instructors about curriculum needs and best practices.  ,   Improved student writing skills as a tutor in the University Writing Lab.  ,   Modified all documents within the common College Composition curriculum to be accessible and meet ADA regulations.  ,   Plan, implement, monitor, and assess various courses which are consistent with Colorado State University objectives.  ,   Planned and facilitated First Year Experience recitations, helping Freshmen understand the culture of UNC and how to be successful in a University environment.  , ""Professional Development Facilitation Plan and facilitate bi-monthly workshops for continuing Graduate Teaching Assistant instructors; Plan and facilitate bi-monthly workshops for first-year Graduate Teaching Assistant instructors; Established and maintain relationship with visiting professors from Vietnam  s Foreign Trade University, offering instruction about Composition curriculum and navigation of the LMS (Writing Studio)."",   Train, supervise, and mentor new instructors of College Composition, providing them with curriculum which they are to deliver.  ,   Using the Learning Management System Canvas, created a common College Composition course shell template.   ",0.0,0.0,,2009.0,0,0,0.0
9,"   Customer Service Specialist   01/2010   ï¼\u2006  11/2012   Company Name   City   ,  State Remained up to date for developments and changes in products, services, policies and procedures by reading job aid guides, attending briefing/meetings and completing courses.  ,   Customer Service Specialist   10/2004   ï¼\u2006  02/2010   Company Name   City   ,  State Monitor checkout stations to ensure that they have adequate cash available and that they are staffed appropriately.  ,   Education 2008   Associate of Arts   :   Wright State University   -  Criminal Justice Sociology   City   ,  State   Criminal Justice Sociology Skills analyst, Banking, Benefits, Cashier, CD, coach, coaching, com, credit, clients, Customer Service, debit, email, Issue receipts, legal, meetings, access, money, mortgage loans, navigation, policies, processes, progress, quality, reading, surveys, tax, Telephone, phone skills, phone, trouble shooting, website  ,   Experience Member Services Representative   03/2015   ï¼\u2006  Current   Company Name   City   ,  State Promoted from Cashier to Lead Cashier to help train staff and facilitated huddles in the morning (Meijer).  ,   Intern   06/2008   ï¼\u2006  08/2008   Company Name   City   ,  State Develop and prepare packets containing information about social service agencies, assistance organizations, and programs that might be useful for inmates or offenders.  ,   Risk Operations Analyst   07/2013   ï¼\u2006  08/2014   Company Name   City   ,  State Answer high volume incoming calls from internal Chase colleagues and account holders who require assistance with deposit holds, New Account Screening, Fraud Activity, Account Restrictions, AML Closures, Kiting and AAU Closures.  ,   Risk Operations Analyst II   08/2014   ï¼\u2006  02/2015   Company Name   City   ,  State Pinpointed fraud trends specific to online money movement and communicated information to colleagues within department.  ,   Senior Service Specialist   12/2012   ï¼\u2006  06/2013   Company Name   City   ,  State Enforced relief to the customers by reviewing the situation, ensuring consumer satisfaction throughout the de-escalation process.   ",,0.0,0.0,2004.0,,0,0,0.0
