Interviewee ID,Normalized Superlative Score
0,0.37491494
1,0.57401186
2,0.13726485
3,0.5339257
4,0.597065
5,0.60339093
6,0.1344549
7,0.5007551
8,0.440769
9,0.40717503
10,0.62561613
11,0.6816505
12,0.5866273
13,0.14437152
14,0.6087058
15,0.5505924
16,0.7820544
17,0.33752847
18,0.47617695
19,0.3364925
20,0.27558967
21,0.23462851
22,0.25833517
23,0.57860917
24,0.34627753
25,0.09171887
26,0.22185571
27,0.41260108
28,0.5278132
29,0.53616035
30,0.40924248
31,0.46176264
32,0.5567574
33,0.59430575
34,0.58078957
35,0.4582289
36,0.3763466
37,0.2388621
38,0.6769528
39,0.61754113
40,0.48101965
41,0.4609579
42,0.5185164
43,0.4075325
44,0.47964403
45,0.584374
46,0.45411268
47,0.46910495
48,0.4793897
49,0.5703954
50,0.56312335
51,0.46824598
52,0.39228946
53,0.42550993
54,0.48245487
55,0.246312
56,0.41599703
57,0.40770948
58,0.47398233
59,0.57663244
60,0.49996188
61,0.3797514
62,0.5623373
63,0.53525335
64,0.43379837
65,0.5171221
66,0.62426186
67,0.5522695
68,0.34697202
69,0.518624
70,0.31734043
71,0.5848542
72,0.492279
73,0.5040523
74,0.4707518
75,0.46679476
76,0.5128503
77,0.46463305
78,0.3550817
79,0.4042993
80,0.47535086
81,0.5600351
82,0.55080587
83,0.45574084
84,0.11097943
86,0.36020187
87,0.3854629
88,0.67374885
89,0.3566583
90,0.41500998
92,0.4810801
93,0.42021284
94,0.4924444
95,0.42182943
96,0.5167806
97,0.48588726
98,0.37728116
99,0.46527773
100,0.42780057
101,0.47178864
102,0.34263438
103,0.43720853
104,0.5606495
105,0.5925842
106,0.48205736
107,0.505692
108,0.34134945
109,0.41201508
110,0.5924152
111,0.60073215
112,0.47510633
113,0.69311523
114,0.5900881
115,0.56596
116,0.4981194
117,0.5546073
118,0.5078733
119,0.4881192
120,0.6175287
121,0.4243726
122,0.5147692
123,0.5618829
124,0.41153046
125,0.49573272
126,0.3796874
127,0.37609938
128,0.57041407
129,0.54062694
130,0.53853637
131,0.5765213
133,0.45523396
134,0.3481022
135,0.50467384
136,0.59149045
137,0.36514062
138,0.5130886
139,0.4837878
140,0.57871324
142,0.54887354
143,0.41162738
144,0.5417544
145,0.5416611
146,0.49548018
147,0.7249752
148,0.30552533
149,0.3359901
150,0.54969966
151,0.87380266
152,0.73713887
153,0.51871115
154,0.52372545
155,0.2593142
156,0.43388996
157,0.53401285
158,0.2511974
