,pdf_id,Job Title,Interviewee ID,Job Title applying to,Job Title Tokens,Aggregated Applying Job Title Tokens,Job Title Risk Factor
0,0,BILINGUAL LANGUAGE ARTS SIXTH GRADE TEACHER,0,,"['BILINGUAL', 'LANGUAGE', 'ARTS', 'SIXTH', 'GRADE', 'TEACHER']",[],0
1,1,MORTGAGE BANKING DEFAULT OPERATIONS SPECIALIST II,1,internal inquiries,"['MORTGAGE', 'BANKING', 'DEFAULT', 'OPERATIONS', 'SPECIALIST', 'II']","['internal', 'inquiries']",0.378127954
2,2,GUEST LECTURER,2,fitness specialists fitness supervisor a fitness supervisor a fitness supervisor,"['GUEST', 'LECTURER']","['fitness', 'specialists', 'fitness', 'supervisor', 'a', 'fitness', 'supervisor', 'a', 'fitness', 'supervisor']",0.840775808
3,3,ACCOUNTANT,3,,['ACCOUNTANT'],[],0
4,4,STAFF ACCOUNTANT,4,,"['STAFF', 'ACCOUNTANT']",[],0
5,5,HR - SHARED SERVICES SUPERVISOR,5,,"['HR', '-', 'SHARED', 'SERVICES', 'SUPERVISOR']",[],0
6,6,ORGANIZER AND CAPACITY BUILDING STRATEGIST,6,this strategist,"['ORGANIZER', 'AND', 'CAPACITY', 'BUILDING', 'STRATEGIST']","['this', 'strategist']",0.639308511
7,7,HR DIRECTOR,7,an HR Representative,"['HR', 'DIRECTOR']","['an', 'HR', 'Representative']",0.236533716
8,8,Professional Summary,8,,"['Professional', 'Summary']",[],0
9,9,MEMBER SERVICES REPRESENTATIVE,9,the member services representative,"['MEMBER', 'SERVICES', 'REPRESENTATIVE']","['the', 'member', 'services', 'representative']",0.482176188
10,10,OPERATIONS MANAGER,10,,"['OPERATIONS', 'MANAGER']",[],0
11,11,BANKING RELATIONSHIP SPECIALIST,11,the skilled Banking Relationship Specialist,"['BANKING', 'RELATIONSHIP', 'SPECIALIST']","['the', 'skilled', 'Banking', 'Relationship', 'Specialist']",0.353047645
12,12,PARTNER ACCOUNT MANAGER,12,,"['PARTNER', 'ACCOUNT', 'MANAGER']",[],0
13,13,HEALTHCARE RECRUITER,13,,"['HEALTHCARE', 'RECRUITER']",[],0
14,14,FLOATER/TEACHER,14,,['FLOATER/TEACHER'],[],0
15,15,FINANCE AND OPERATIONS MANAGER,15,internal processes,"['FINANCE', 'AND', 'OPERATIONS', 'MANAGER']","['internal', 'processes']",0.461529947
16,16,PHLEBOTOMIST,16,a creative strategist,['PHLEBOTOMIST'],"['a', 'creative', 'strategist']",0.786128626
17,17,FINANCE MANAGER,17,,"['FINANCE', 'MANAGER']",[],0
18,18,SUPPORT & NETWORK SERVICES INTERN,18,their internship this intern their internship,"['SUPPORT', '&', 'NETWORK', 'SERVICES', 'INTERN']","['their', 'internship', 'this', 'intern', 'their', 'internship']",0.353332417
19,19,BANKING OFFICER,19,a talented investment banking summer analyst,"['BANKING', 'OFFICER']","['a', 'talented', 'investment', 'banking', 'summer', 'analyst']",0.366668751
20,20,HR MANAGER,20,an HR assistant,"['HR', 'MANAGER']","['an', 'HR', 'assistant']",0.241296261
21,21,HR GENERALIST/RECRUITER,21,,"['HR', 'GENERALIST/RECRUITER']",[],0
22,22,DOMESTIC VIOLENCE COUNSELOR ADVOCATE,22,,"['DOMESTIC', 'VIOLENCE', 'COUNSELOR', 'ADVOCATE']",[],0
23,23,ASSISTANT VICE PRESIDENT,23,,"['ASSISTANT', 'VICE', 'PRESIDENT']",[],0
24,24,DIRECTOR OF FINANCE,24,national account executives,"['DIRECTOR', 'OF', 'FINANCE']","['national', 'account', 'executives']",0.643840083
25,25,HEALTHCARE CONSULTANT,25,,"['HEALTHCARE', 'CONSULTANT']",[],0
26,26,HR MANAGER,26,,"['HR', 'MANAGER']",[],0
27,27,GROUP FITNESS COORDINATOR,27,a skilled data analyst,"['GROUP', 'FITNESS', 'COORDINATOR']","['a', 'skilled', 'data', 'analyst']",0.446455284
28,28,LINE ATTENDANT,28,a remarkable supervisor,"['LINE', 'ATTENDANT']","['a', 'remarkable', 'supervisor']",0.789247842
29,29,INFORMATION TECHNOLOGY SPECIALIST,29,,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']",[],0
30,30,PROJECT ACCOUNTANT,30,a Sales & Trading Intern,"['PROJECT', 'ACCOUNTANT']","['a', 'Sales', '&', 'Trading', 'Intern']",0.511625942
31,31,"PLATFORM ARCHITECT, HEALTHCARE INCUBATION LAB (HIL)",31,a platform architect software architecture software architecture a talented platform architect,"['PLATFORM', 'ARCHITECT,', 'HEALTHCARE', 'INCUBATION', 'LAB', '(HIL)']","['a', 'platform', 'architect', 'software', 'architecture', 'software', 'architecture', 'a', 'talented', 'platform', 'architect']",0.59388888
32,32,VOLUNTEER HR -IVOLUNTEER,32,,"['VOLUNTEER', 'HR', '-IVOLUNTEER']",[],0
33,33,ACCOUNTANT,33,,['ACCOUNTANT'],[],0
34,34,WORKING RF SYSTEMS ENGINEER,34,,"['WORKING', 'RF', 'SYSTEMS', 'ENGINEER']",[],0
35,35,PERSONNEL SECURITY SPECIALIST,35,international aircraft certification programs the specialist's contributions the personnel security specialist,"['PERSONNEL', 'SECURITY', 'SPECIALIST']","['international', 'aircraft', 'certification', 'programs', 'the', ""specialist's"", 'contributions', 'the', 'personnel', 'security', 'specialist']",0.456047287
36,36,SUPERVISOR,36,the supervisory role,['SUPERVISOR'],"['the', 'supervisory', 'role']",0.534200164
37,37,SENIOR STUDENT ACCOUNTS OFFICER,37,a dedicated financial aid and student accounts officer,"['SENIOR', 'STUDENT', 'ACCOUNTS', 'OFFICER']","['a', 'dedicated', 'financial', 'aid', 'and', 'student', 'accounts', 'officer']",0.465522234
38,38,AVIATION ELECTRONICS TECHNICIAN,38,a highly skilled aviation electronics technician a fitness trainer,"['AVIATION', 'ELECTRONICS', 'TECHNICIAN']","['a', 'highly', 'skilled', 'aviation', 'electronics', 'technician', 'a', 'fitness', 'trainer']",0.411016747
39,39,"BANKING CENTER MANAGER, ASSISTANT VICE PRESIDENT",39,,"['BANKING', 'CENTER', 'MANAGER,', 'ASSISTANT', 'VICE', 'PRESIDENT']",[],0
40,40,I,40,a dedicated healthcare marketing specialist a talented and dynamic healthcare marketing specialist an exceptional Healthcare Marketing Specialist,['I'],"['a', 'dedicated', 'healthcare', 'marketing', 'specialist', 'a', 'talented', 'and', 'dynamic', 'healthcare', 'marketing', 'specialist', 'an', 'exceptional', 'Healthcare', 'Marketing', 'Specialist']",0.784100129
41,41,CO- FOUNDER/THERAPIST AND TEACHING ARTIST,41,,"['CO-', 'FOUNDER/THERAPIST', 'AND', 'TEACHING', 'ARTIST']",[],0
42,42,ASSISTANT MANAGER - HR,42,,"['ASSISTANT', 'MANAGER', '-', 'HR']",[],0
43,43,HR COORDINATOR,43,,"['HR', 'COORDINATOR']",[],0
44,44,SALES & CUSTOMER SERVICE REP,44,new representatives new representatives,"['SALES', '&', 'CUSTOMER', 'SERVICE', 'REP']","['new', 'representatives', 'new', 'representatives']",0.358424736
45,45,FITNESS STAFF,45,,"['FITNESS', 'STAFF']",[],0
46,46,GENERAL ACCOUNTANT,46,the highly skilled tax accounting specialist,"['GENERAL', 'ACCOUNTANT']","['the', 'highly', 'skilled', 'tax', 'accounting', 'specialist']",0.734291156
47,47,ACCOUNTANT,47,,['ACCOUNTANT'],[],0
48,48,Summary,48,,['Summary'],[],0
49,49,ADMISSIONS EXECUTIVE,49,the Admissions Executive's responsibilities the admissions executive,"['ADMISSIONS', 'EXECUTIVE']","['the', 'Admissions', ""Executive's"", 'responsibilities', 'the', 'admissions', 'executive']",0.597692836
